Star Wars,1977, Carrie Fisher
Star Wars,1977, Mark Hamill
Star Wars,1977, Harrison Ford
Gone With the Wind,1939, Vivien Leigh
Wayne’s World,1992, Dana Carvey
Wayne’s World,1992, Mike Meyers
